name,what,who,address_1,address_2,suburb,phone,phone_2,free_call,email,website,twitter,social_media,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holidays,cost,tram_routes,bus_routes,nearest_train_station,category_1,category_2,category_3,category_4,category_5,category_6,longitude,latitude,geocoded_location,Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,category,Unnamed: 0,Serial No.,Estimate type,Gender,Chapter,Indicator,Indicator category,Stratified by,Sub-population,%,RSE,UL,LL,Sig.,Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold Coast Youth Service Inc,Gold Coast Youth Service Inc.,<a href='http://www.goldcoastyouthservice.com'>http://www.goldcoastyouthservice.com</a>,15 Oak Avenue MIAMI QLD 4220 ,MIAMI,4220,Financial Crisis and Material Aid - Emergency Relief,Miami,Broadbeach - Burleigh,Gold Coast,Gold Coast (C),Moncrieff,-28.064019,153.4368381,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goodna Youth Services Inc,Goodna Youth Services Inc,<a href='http://www.goodnayouthservices.org.au'>http://www.goodnayouthservices.org.au</a>,"Lot 53, 11 William Street GOODNA QLD 4300 ",GOODNA,4300,Financial Crisis and Material Aid - Emergency Relief,Goodna,Springfield - Redbank,Ipswich,Ipswich (C),Oxley,-27.6084793,152.8952671,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goondir Aboriginal & Torres Strait Islander Corporation for Health Service,Goondir,<a href='http://www.goondir.org.au'>http://www.goondir.org.au</a>,4 Jimbour Street DALBY QLD 4405 ,DALBY,4405,Financial Crisis and Material Aid - Emergency Relief,Wambo,Darling Downs - East,Darling Downs - Maranoa,Western Downs (R),Maranoa,-27.1864942,151.2625255,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graham House Community Centre Inc.,Graham House Community Centre,<a href='http://grahamhouse.org.au/'>http://grahamhouse.org.au/</a>,"Lot 4, 21 Taylor Street East MURGON QLD 4605 ",MURGON,4605,Financial Crisis and Material Aid - Emergency Relief,Kingaroy Region - North,Burnett,Wide Bay,South Burnett (R),Wide Bay,-26.2470214,151.9427535,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gundagai Neighbourhood Centre,Gundagai Neighbourhood Centre,<a href='http://www.gundagai.nsw.gov.au/gundagai-neighbourhood-centre.aspx'>http://www.gundagai.nsw.gov.au/gundagai-neighbourhood-centre.aspx</a>,Mirrabooka 245 Sheridan Street GUNDAGAI NSW 2722 ,GUNDAGAI,2722,Financial Crisis and Material Aid - Emergency Relief,Gundagai,Wagga Wagga,Riverina,Gundagai (A),Riverina,-35.0625961,148.1016288,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guriwal Aboriginal Corporation,GURIWAL ABORIGINAL CORPORATION,<a href='http://www.guriwal.com.au/'>http://www.guriwal.com.au/</a>,Yarra Bay House 1 Elaroo Ave PHILLIP BAY NSW 2036 ,PHILLIP BAY,2036,Financial Crisis and Material Aid - Emergency Relief,Malabar - La Perouse - Chifley,Eastern Suburbs - South,Sydney - Eastern Suburbs,Randwick (C),Kingsford Smith,-33.9821658,151.2303496,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvest Rain Christian Care Ltd,Harvest Rain Christian Care,<a href='http://tivolimc.com.au/'>http://tivolimc.com.au/</a>,154 Brisbane Street IPSWICH QLD 4305 ,IPSWICH,4305,Financial Crisis and Material Aid - Emergency Relief,Ipswich - Central,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6145668,152.7563649,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healesville Inter Church Community Care Inc.,Healesville Inter Church Community Care Inc.,<a href='http://hicci.org.au/'>http://hicci.org.au/</a>,231 Maroondah Highway Healesville VIC 3777 ,Healesville,3777,Financial Crisis and Material Aid - Emergency Relief,Healesville - Yarra Glen,Yarra Ranges,Melbourne - Outer East,Yarra Ranges (S),Casey,-37.6535028,145.5176422,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helping Hand Association Inc.,Helping Hand,,2 Marlborough St LONGFORD TAS 7301 ,LONGFORD,7301,Financial Crisis and Material Aid - Emergency Relief,Longford,North East,Launceston and North East,Northern Midlands (M),Lyons,-41.5952586,147.1217417,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hinchinbrook Community Support Centre Incorporated,Hinchinbrook Community Support Centre,<a href='http://www.hcsc.org.au'>http://www.hcsc.org.au</a>,52 McIlwraith Street Ingham QLD 4850 ,Ingham,4850,Financial Crisis and Material Aid - Emergency Relief,Ingham,Charters Towers - Ayr - Ingham,Townsville,Hinchinbrook (S),Kennedy,-18.6519224,146.1560778,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,ONE MILE DAM,,ONE MILE DAM COMMUNITY DARWIN NT 0800 ,DARWIN,0800,Financial Crisis and Material Aid - Emergency Relief,Darwin City,Darwin City,Darwin,Darwin (C),Solomon,-12.4634411,130.8456421,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,KULALUK,,KULALUK COMMUNITY COCONUT GROVE NT 0810 ,COCONUT GROVE,0810,Financial Crisis and Material Aid - Emergency Relief,Coconut Grove,Darwin Suburbs,Darwin,Darwin (C),Solomon,-12.3961417,130.8502369,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,CASCOM,,Unit 3 17 Scaturchio Street CASUARINA NT 0810 ,CASUARINA,0810,Financial Crisis and Material Aid - Emergency Relief,Brinkin - Nakara,Darwin Suburbs,Darwin,Darwin (C),Solomon,-12.372508,130.880949,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,BAGOT,,BAGOT COMMUNITY LUDMILLA NT 0820 ,LUDMILLA,0820,Financial Crisis and Material Aid - Emergency Relief,Ludmilla - The Narrows,Darwin City,Darwin,Darwin (C),Solomon,-12.414094,130.8489194,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,MINMARAMA PARK,,MINMARAMA PARK COMMUNITY LUDMILLA NT 0820 ,LUDMILLA,0820,Financial Crisis and Material Aid - Emergency Relief,Ludmilla - The Narrows,Darwin City,Darwin,Darwin (C),Solomon,-12.4113124,130.8488755,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,ACACIA LARRAKIA,,ACACIA LARRAKIA COMMUNITY ACACIA NT 0822 ,ACACIA,0822,Financial Crisis and Material Aid - Emergency Relief,Weddell,Litchfield,Darwin,Litchfield (M),Lingiari,-12.795699,131.125127,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,BELYUEN,,BELYUEN COMMUNITY BELYUEN NT 0822 ,BELYUEN,0822,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Belyuen (S),Lingiari,-12.5381844,130.6831804,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,GUNBALANYA,,GUNBALANYA COMMUNITY GUNBALANYA NT 0822 ,GUNBALANYA,0822,Financial Crisis and Material Aid - Emergency Relief,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-12.3469383,133.049232,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,MINJILANG,,MINJILANG COMMUNITY MINJILANG NT 0822 ,MINJILANG,0822,Financial Crisis and Material Aid - Emergency Relief,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-11.1447059,132.5724813,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,WARRUWI,,WARRUWI COMMUNITY WARRUWI NT 0822 ,WARRUWI,0822,Financial Crisis and Material Aid - Emergency Relief,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-11.6578625,133.3782542,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,KNUCKEY LAGOON,,KNUCKEY LAGOON KNUCKEY LAGOON NT 0828 ,KNUCKEY LAGOON,0828,Financial Crisis and Material Aid - Emergency Relief,Berrimah,Darwin Suburbs,Darwin,Litchfield (M),Solomon,-12.4245418,130.9472374,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,PALMERSTON INDIGENOUS VILLAGE,,PALMERSTON INDIGENOUS VILLAGE PALMERSTON NT 0830 ,PALMERSTON,0830,Financial Crisis and Material Aid - Emergency Relief,Howard Springs,Litchfield,Darwin,Litchfield (M),Lingiari,-12.489951,131.013585,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,AMANGUL,,AMANGUL COMMUNITY ADELAIDE RIVER NT 0846 ,ADELAIDE RIVER,0846,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Coomalie (S),Lingiari,-13.1678627,131.1557571,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,JABIRU,,JABIRU JABIRU NT 0886 ,JABIRU,0886,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-12.6694827,132.8371854,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HK Training & Consultancy Pty Ltd,MUDGINBERRI,,MUDGINBERRI COMMUNITY MUDGINBERRI NT 0886 ,MUDGINBERRI,0886,Financial Crisis and Material Aid - Emergency Relief,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,West Arnhem (S),Lingiari,-12.6694827,132.8371854,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hobart City Mission Inc.,Hobart City Mission,<a href='http://www.hobartcitymission.org.au'>http://www.hobartcitymission.org.au</a>,50 Barrack Street Hobart TAS 7000 ,Hobart,7000,Financial Crisis and Material Aid - Emergency Relief,Hobart,Hobart Inner,Hobart,Hobart (C),Denison,-42.8853257,147.3216819,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hobart City Mission Inc.,Hobart City Mission,<a href='http://www.hobartcitymission.org.au'>http://www.hobartcitymission.org.au</a>,11-13 Main Rd MOONAH TAS 7009 ,MOONAH,7009,Financial Crisis and Material Aid - Emergency Relief,Moonah,Hobart - North West,Hobart,Glenorchy (C),Denison,-42.8502528,147.2981069,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFYS Limited,IFYS Limited - Maroochydore,<a href='http://www.ifys.com.au'>http://www.ifys.com.au</a>,108 Parker Street MAROOCHYDORE QLD 4558 ,MAROOCHYDORE,4558,Financial Crisis and Material Aid - Emergency Relief,Maroochydore - Kuluin,Maroochy,Sunshine Coast,Sunshine Coast (R),Fairfax,-26.6592179,153.0958789,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illawarra Aboriginal Corporation,Kenny Street,<a href='http://www.iac.org.au'>http://www.iac.org.au</a>,22 Kenny Street WOLLONGONG NSW 2500 ,WOLLONGONG,2500,Financial Crisis and Material Aid - Emergency Relief,Wollongong,Wollongong,Illawarra,Wollongong (C),Cunningham,-34.4276853,150.8914598,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innisfail Youth and Family Care Inc,Innisfail Youth and Family Care Inc,,Level 2/28 Rankin Street INNISFAIL QLD 4860 ,INNISFAIL,4860,Financial Crisis and Material Aid - Emergency Relief,Innisfail,Innisfail - Cassowary Coast,Cairns,Cassowary Coast (R),Kennedy,-17.5239478,146.0308071,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ipswich Assist,Ipswich Assist,<a href='http://ipswichassist.org.au'>http://ipswichassist.org.au</a>,20A Limestone St IPSWICH QLD 4305 ,IPSWICH,4305,Financial Crisis and Material Aid - Emergency Relief,Ipswich - Central,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6164651,152.7633966,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ipswich Housing and Support Services Inc.,Ipswich Housing & Support Services Inc,<a href='http://www.ihssi.org.au/'>http://www.ihssi.org.au/</a>,14 South Station Road BOOVAL QLD 4304 ,BOOVAL,4304,Financial Crisis and Material Aid - Emergency Relief,Ipswich - East,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6102858,152.7900838,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italo Australian Welfare & Cultural Centre Inc.,IAWCC - Perth Inner,<a href='http://www.yacwa.org.au/pling/service/italo-australian-welfare-and-cultural-centre-inc/'>http://www.yacwa.org.au/pling/service/italo-australian-welfare-and-cultural-centre-inc/</a>,209 Fitzgerald St PERTH WA 6000 ,PERTH,6000,Financial Crisis and Material Aid - Emergency Relief,Perth City,Perth City,Perth - Inner,Vincent (T),Perth,-31.9398,115.8561,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacaranda Community Centre Inc,Jacaranda Community Centre Inc,<a href='http://jacarandacommunitycentre.org.au'>http://jacarandacommunitycentre.org.au</a>,146 Epsom Avenue BELMONT WA 6104 ,BELMONT,6104,Financial Crisis and Material Aid - Emergency Relief,Belmont - Ascot - Redcliffe,Belmont - Victoria Park,Perth - South East,Belmont (C),Swan,-31.94304,115.93956,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junction Australia Ltd,Kangaroo Island Community Centre,<a href='http://www.junctionaustralia.org.au'>http://www.junctionaustralia.org.au</a>,9 Murray Street Kingscote SA 5223 ,Kingscote,5223,Financial Crisis and Material Aid - Emergency Relief,Kangaroo Island,Fleurieu - Kangaroo Island,South Australia - South East,Kangaroo Island (DC),Mayo,-35.6553311,137.6377931,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junee Community Centre Inc,Junee,<a href='http://www.livingjunee.com.au'>http://www.livingjunee.com.au</a>,16 Belmore Street Junee NSW 2663 ,Junee,2663,Financial Crisis and Material Aid - Emergency Relief,Junee,Wagga Wagga,Riverina,Junee (A),Riverina,-34.8713702,147.5857584,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jungarni-Jutiya Indigenous Corporation,Jungarni-Jutiya Indigenous Corporation,<a href='http://www.jungarni.org/'>http://www.jungarni.org/</a>,29 Thomas Street HALLS CREEK WA 6770 ,HALLS CREEK,6770,Financial Crisis and Material Aid - Emergency Relief,Halls Creek,Kimberley,Western Australia - Outback,Halls Creek (S),Durack,-18.2243987,127.6692461,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalwun Development Corporation Ltd,Varsity Lakes,<a href='http://www.kalwun.com.au'>http://www.kalwun.com.au</a>,Unit 1 14 Cassia Dr VARSITY LAKES QLD 4227 ,VARSITY LAKES,4227,Financial Crisis and Material Aid - Emergency Relief,Varsity Lakes,Robina,Gold Coast,Gold Coast (C),McPherson,-28.0996889,153.4185132,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karralika Programs Inc,Karralika head office,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,Canberra Institute Of Technology 160 Ainsworth St PHILLIP ACT 2606 ,PHILLIP,2606,Financial Crisis and Material Aid - Emergency Relief,Phillip,Woden,Australian Capital Territory,Unincorporated ACT,Canberra,-35.3478475,149.0953871,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karralika Programs Inc,Karralika Community Programs,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,E Block CIT Southern Campus Ainsworth St P PHILLIP ACT 2606 ,PHILLIP,2606,Financial Crisis and Material Aid - Emergency Relief,Phillip,Woden,Australian Capital Territory,Unincorporated ACT,Canberra,-35.3490483,149.0945332,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karralika Programs Inc,Karralika Family Program,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,256 Bugden Ave Fadden ACT 2904 ,Fadden,2904,Financial Crisis and Material Aid - Emergency Relief,Fadden,Tuggeranong,Australian Capital Territory,Unincorporated ACT,Canberra,-35.4038334,149.1245559,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karralika Programs Inc,Karralika Adult Program,<a href='http://karralika.org.au/'>http://karralika.org.au/</a>,Karralika Therapeutic Community 155 Keverstone Cct ISABELLA PLAINS ACT 2905 ,ISABELLA PLAINS,2905,Financial Crisis and Material Aid - Emergency Relief,Isabella Plains,Tuggeranong,Australian Capital Territory,Unincorporated ACT,Canberra,-35.433131,149.0889334,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katherine Women's Crisis Centre,Withheld,,Withheld,Withheld,Withheld,Financial Crisis and Material Aid - Emergency Relief,,Katherine,,,,-15.836494,133.500819,Y,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyabra Community Association Inc,Kyabra Community Association Inc,<a href='http://www.kyabra.org'>http://www.kyabra.org</a>,Kyabra Street RUNCORN QLD 4113 ,RUNCORN,4113,Financial Crisis and Material Aid - Emergency Relief,Runcorn,Sunnybank,Brisbane - South,Brisbane (C),Moreton,-27.6100058,153.0697043,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laidley and Districts Community Organisation Inc.,Laidley and Districts Community Organisation Inc,<a href='http://www.ourcommunitycentre.org.au'>http://www.ourcommunitycentre.org.au</a>,13 Mary Street LAIDLEY QLD 4341 ,LAIDLEY,4341,Financial Crisis and Material Aid - Emergency Relief,Lockyer Valley - East,Ipswich Hinterland,Ipswich,Lockyer Valley (R),Wright,-27.6389981,152.3933504,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larrakia Nation Aboriginal Corporation,Larrakia Nation Community Services,<a href='http://www.larrakia.com'>http://www.larrakia.com</a>,76 Dick Ward Drive COCONUT GROVE NT 0810 ,COCONUT GROVE,0810,Financial Crisis and Material Aid - Emergency Relief,Coconut Grove,Darwin Suburbs,Darwin,Darwin (C),Solomon,-12.401716,130.852854,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latrobe Community Health Service Incorporated,Latrobe Community Health Service,<a href='http://www.lchs.com.au'>http://www.lchs.com.au</a>,81-87 Buckley Street MORWELL VIC 3840 ,MORWELL,3840,Financial Crisis and Material Aid - Emergency Relief,Morwell,Latrobe Valley,Latrobe - Gippsland,Latrobe (C),Gippsland,-38.2357784,146.3999177,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Launceston Benevolent Society Inc.,Launceston Benevolent Society,<a href='http://www.benevolent.org.au'>http://www.benevolent.org.au</a>,5 Innocent St KINGS MEADOWS TAS 7249 ,KINGS MEADOWS,7249,Financial Crisis and Material Aid - Emergency Relief,Kings Meadows - Punchbowl,Launceston,Launceston and North East,Launceston (C),Bass,-41.4642004,147.1590373,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Launceston City Mission Inc.,Launceston City Mission - Family Services ER,<a href='http://www.citymission.org.au'>http://www.citymission.org.au</a>,46 Frederick St 46 Frederick St LAUNCESTON TAS 7250 ,LAUNCESTON,7250,Financial Crisis and Material Aid - Emergency Relief,Launceston,Launceston,Launceston and North East,Launceston (C),Bass,-41.4416469,147.1386961,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAUNCH HOUSING LIMITED,Launch Housing Limited,<a href='http://www.launchhousing.org.au'>http://www.launchhousing.org.au</a>,"Unit 1A  68 Oxford Street, COLLINGWOOD, VIC, 3066",COLLINGWOOD,3066,Financial Crisis and Material Aid - Emergency Relief,Collingwood,Yarra,Melbourne - Inner,Yarra (C),Melbourne,-37.803526,144.985039,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laverton Community Integrated Services Inc,Laverton Community Centre,<a href='http://www.lcis.org.au'>http://www.lcis.org.au</a>,12 Crown St Laverton VIC 3028 ,Laverton,3028,Financial Crisis and Material Aid - Emergency Relief,Laverton,Wyndham,Melbourne - West,Hobsons Bay (C),Lalor,-37.866563,144.767776,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leichhardt Community Group Inc,Leichhardt-One Mile Community Centre,<a href='http://www.lcginc.org.au'>http://www.lcginc.org.au</a>,1-17 Denman Street LEICHHARDT QLD 4305 ,LEICHHARDT,4305,Financial Crisis and Material Aid - Emergency Relief,Leichhardt - One Mile,Ipswich Inner,Ipswich,Ipswich (C),Blair,-27.6266472,152.7419066,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LifeHouse Care,Lifehouse Care,<a href='http://www.lifehousecare.org.au'>http://www.lifehousecare.org.au</a>,12 Earl St COFFS HARBOUR NSW 2450 ,COFFS HARBOUR,2450,Financial Crisis and Material Aid - Emergency Relief,Coffs Harbour - South,Coffs Harbour,Coffs Harbour - Grafton,Coffs Harbour (C),Cowper,-30.3002076,153.1168582,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lifeline South East (SA) Inc.,Lifeline South East (SA) Inc.,<a href='https://www.lifeline.org.au/About-Lifeline/Lifeline-Locations/South-East-SA/home'>https://www.lifeline.org.au/About-Lifeline/Lifeline-Locations/South-East-SA/home</a>,5 Mark Street Mount Gambier SA 5290 ,Mount Gambier,5290,Financial Crisis and Material Aid - Emergency Relief,Mount Gambier,Limestone Coast,South Australia - South East,Mount Gambier (C),Barker,-37.8321242,140.7901246,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Ridge Neighbourhood Centre Inc,Food For Families,<a href='http://www.winc.org.au/lightningridge.htm'>http://www.winc.org.au/lightningridge.htm</a>,39 Morilla St LIGHTNING RIDGE NSW 2834 ,LIGHTNING RIDGE,2834,Financial Crisis and Material Aid - Emergency Relief,Walgett - Lightning Ridge,Bourke - Cobar - Coonamble,Far West and Orana,Walgett (A),Parkes,-29.4271422,147.9795155,N,Support Service,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Ridge Neighbourhood Centre Inc,Lightning Ridge Neighbourhood Centre Inc,<a href='http://www.winc.org.au/lightningridge.htm'>http://www.winc.org.au/lightningridge.htm</a>,PO Box 415 LIGHTNING RIDGE NSW 2834 ,LIGHTNING RIDGE,2834,Financial Crisis and Material Aid - Emergency Relief,Walgett - Lightning Ridge,Bourke - Cobar - Coonamble,Far West and Orana,Walgett (A),Parkes,-29.3171684,148.0068303,N,Support Service,,,,,,,,,,,,,,,
